product,url,alert_price,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,price,alert
catit litter regular,https://www.petsmart.ca/cat/litter-and-waste-disposal/litter/catit-go-natural-clumping-pea-husk-cat-litter---low-dust-natural-64638.html,25.99,,,,,25.99,False
Okocat® Original Clumping Wood Cat Litter - Low Dust Natural,https://www.petsmart.ca/cat/litter-and-waste-disposal/litter/okocat-original-clumping-wood-cat-litter---low-dust-natural-47388.html?cgid=200152,27.99,,,,,24.99,True
